question,answers,page,link
What is the incubation period of the corona virus disease?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Who is most at risk for the corona virus disease?,"People of all ages can be infected by the new corona virus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus.WHO advises people of all ages to take steps to protect themselves from the virus, for example by following good hand hygiene and good respiratory hygiene.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Is the corona virus disease the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
What is a corona virus?,corona viruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS).,EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Can humans become infected with a novel corona virus of animal source?,"Detailed investigations found that SARS-CoV was transmitted from civet cats to humans in China in 2002 and MERS-CoV from dromedary camels to humans in Saudi Arabia in 2012. Several known corona viruses are circulating in animals that have not yet infected humans. As surveillance improves around the world, more corona viruses are likely to be identified.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
What are the symptoms of someone infected with a corona virus?,"It depends on the virus, but common signs include respiratory symptoms, fever, cough, shortness of breath, and breathing difficulties. In more severe cases, infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Can corona viruse be transmitted from person to person?,"Yes, some corona viruses can be transmitted from person to person, usually after close contact with an infected patient, for example, in a household workplace, or health care centre.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Is there a vaccine for a novel corona virus?,"When a disease is new, there is no vaccine until one is developed. It can take a number of years for a new vaccine to be developed",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Is there a treatment for a novel corona virus?,"There is no specific treatment for disease caused by a novel corona virus. However, many of the symptoms can be treated and therefore treatment based on the patient’s clinical condition. Moreover, supportive care for infected persons can be highly effective.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
What can I do to protect myself?,"Standard recommendations to reduce exposure to and transmission of a range of illnesses include maintaining basic hand and respiratory hygiene, and safe food practices  and avoiding close contact, when possible, with anyone showing symptoms of respiratory illness such as coughing and sneezing.",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Are health workers at risk from a novel corona virus?,"Yes, they can be, as health care workers come into contact with patients more often than the general public WHO recommends that health care workers consistently apply appropriate",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
What WHO recommendations for countries?,"WHO encourages all countries to enhance their surveillance for severe acute respiratory infections (SARI), to carefully review any unusual patterns of SARI or pneumonia cases and to notify WHO of any suspected or confirmed case of infection with novel corona virus. Countries are encouraged to continue strengthening their preparedness for health emergencies in line with the International Health Regulations (2005).",EU,http://www.emro.who.int/health-topics/corona-virus/questions-and-answers.html
Is My Child at Risk for corona virus (COVID-19)?,"Experts are still learning about corona virus, but it seems to usually cause a milder illness in children than in adults or older people. Most people who have died from corona virus were older adults or people with health problems, such as heart disease, lung disease, or diabetes.",India,https://www.weforum.org/agenda/2020/03/covid-19-your-questions-answered/
What Should I Do if a Family Member Has Symptoms of corona virus (COVID-19)?,"The symptoms of corona virus (fever, cough, and trouble breathing) can look a lot like illnesses from other viruses. If a family member has trouble breathing, go to the emergency room or call an ambulance right away. Call your doctor if someone in your family has a fever, cough, or other flu-like symptoms. If this person has been near someone with corona virus or lived in or traveled to an area where lots of people have corona virus, tell the doctor. The doctor can decide whether your family member: can be treated at home should come in for a visit can have a telehealth visit needs to be tested for corona virus",India,https://www.weforum.org/agenda/2020/03/covid-19-your-questions-answered/
How Do Doctors Test People for corona virus (COVID-19)?,"To test someone for corona virus, doctors send a mucus sample from the nose and back of the throat to a lab. If the person coughs up mucus, doctors might send that for testing too.",India,https://www.weforum.org/agenda/2020/03/covid-19-your-questions-answered/
Where Can I Get Updated Information on corona virus (COVID-19)?,"Check the CDC and World Health Organization (WHO) websites for up-to-date, reliable information about corona virus.",India,https://www.weforum.org/agenda/2020/03/covid-19-your-questions-answered/
What is COVID-19? What is SARS-CoV-2? ,Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) is the name given to the 2019 novel coronavirus. COVID-19 is the name given to the disease associated with the virus. SARS-CoV-2 is a new strain of coronavirus that has not been previously identified in humans.,EU,https://www.weforum.org/agenda/2020/03/covid-19-your-questions-answered/
